,ac_number,constituency,region,reserved,winner_party_2021,winner_share_2021,margin_pct_2021,winner_party_2026,winner_share_2026,margin_pct_2026,total_votes,num_candidates,flipped,share_delta,margin_delta
140,141,Tiruchirapalli (East),Delta,GEN,DMK,54.56,31.12,TVK,50.07,15.02,182493,21,True,-4.49,-16.1
141,142,Thiruverambur,Delta,GEN,DMK,53.51,25.23,TVK,42.06,4.08,213583,27,True,-11.45,-21.15
142,143,Lalgudi,Delta,GEN,DMK,48.59,9.7,AIADMK,32.82,1.48,185213,25,True,-15.77,-8.22
143,144,Manachanallur,Delta,GEN,DMK,59.14,30.31,DMK,38.82,5.89,209780,23,False,-20.32,-24.42
144,145,Musiri,Delta,GEN,DMK,50.43,14.93,TVK,37.69,9.22,189141,12,True,-12.74,-5.71
145,146,Thuraiyur,Delta,SC,DMK,49.91,12.55,TVK,35.93,5.21,184426,16,True,-13.98,-7.34
146,147,Perambalur,Central,SC,DMK,50.87,12.93,TVK,35.83,5.67,253654,12,True,-15.04,-7.26
147,148,Kunnam,Central,GEN,DMK,47.26,2.88,DMK,37.84,6.75,230570,20,False,-9.42,3.87
148,149,Ariyalur,Central,GEN,DMK,46.16,1.44,AIADMK,40.37,10.39,235858,16,True,-5.79,8.95
149,150,Jayankondam,Central,GEN,DMK,46.0,2.52,PMK,38.94,8.09,228548,20,True,-7.06,5.57
150,151,Tittakudi,Central,SC,DMK,49.78,12.82,DMK,35.91,1.5,175754,15,False,-13.87,-11.32
151,152,Vriddhachalam,Central,GEN,INC,39.17,0.44,DMDK,33.15,1.14,209186,19,True,-6.02,0.7
152,153,Neyveli,Central,GEN,DMK,45.8,0.6,AIADMK,37.76,6.49,168780,12,True,-8.04,5.89
153,154,Panruti,Central,GEN,DMK,47.6,2.38,AIADMK,37.2,5.06,210767,10,True,-10.4,2.68
154,155,Cuddalore,Central,GEN,DMK,46.46,2.83,TVK,37.22,8.15,190378,16,True,-9.24,5.32
155,156,Kurinjipadi,Central,GEN,DMK,51.04,8.82,DMK,35.84,3.55,213965,12,False,-15.2,-5.27
156,157,Bhuvanagiri,Central,GEN,AIADMK,48.92,4.19,AIADMK,36.52,1.2,207310,14,False,-12.4,-2.99
157,158,Chidambaram,Central,GEN,AIADMK,50.16,9.24,DMK,35.48,2.92,196586,12,True,-14.68,-6.32
158,159,Kattumannarkoil,Central,SC,VCK,49.02,6.02,VCK,45.33,17.6,187905,12,False,-3.69,11.58
159,160,Sirkali,Delta,SC,DMK,49.16,6.35,DMK,35.64,5.7,200448,11,False,-13.52,-0.65
160,161,Mayiladuthurai,Delta,GEN,INC,42.17,1.57,INC,36.09,5.75,188461,21,False,-6.08,4.18
161,162,Poompuhar,Delta,GEN,DMK,46.24,1.59,DMK,36.98,3.77,219324,14,False,-9.26,2.18
162,163,Nagapattinam,Delta,GEN,VCK,46.17,5.04,DMK,37.21,6.46,151326,14,True,-8.96,1.42
163,164,Kilvelur,Delta,SC,CPI(M),47.55,11.88,CPI(M),37.0,1.5,151637,8,False,-10.55,-10.38
164,165,Vedaranyam,Delta,GEN,AIADMK,49.8,7.8,AIADMK,36.48,4.52,162216,12,False,-13.32,-3.28
